Temperature,Humidity,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
26.7,61.9,16.3,13.0,6.3,0.85,16.7,361
32.6,87.0,31.4,27.2,14.7,1.61,6.1,331
25.5,63.0,38.7,28.8,4.7,1.32,5.9,527
31.0,85.8,24.8,29.4,8.5,1.89,12.1,507
31.5,71.2,16.1,17.1,8.3,1.47,9.0,615
44.7,97.9,57.3,28.1,22.6,1.78,3.5,562
23.2,73.9,5.5,13.8,4.2,0.98,14.0,494
33.2,83.7,31.8,48.7,21.4,1.88,4.8,933
29.4,73.1,13.7,38.5,5.1,1.59,3.8,438
29.2,62.5,7.0,26.5,13.5,1.07,6.1,630
41.2,85.9,21.2,39.6,8.4,2.27,3.5,689
23.6,54.1,48.4,23.5,5.3,1.02,11.2,398
32.0,71.7,19.2,22.9,10.4,1.28,5.4,560
42.9,58.5,48.5,33.7,23.2,2.0,5.7,455
23.9,44.8,4.7,26.0,3.5,1.02,10.6,262
25.3,73.0,12.1,23.0,8.9,0.97,11.2,571
29.8,60.9,14.6,16.7,2.5,1.06,13.1,217
25.1,70.9,33.0,37.1,9.1,1.05,6.3,569
23.8,72.4,9.6,23.0,3.5,0.95,10.9,384
20.2,55.1,10.7,23.6,5.0,0.99,12.0,585
32.1,59.4,13.3,22.8,2.0,1.16,10.2,396
30.1,75.1,33.4,28.2,5.4,1.44,6.2,648
16.8,57.1,25.6,13.0,6.4,1.05,10.4,231
29.5,43.4,29.7,18.7,8.7,0.92,10.4,385
22.6,76.7,6.5,20.9,6.7,1.22,10.7,565
30.8,60.8,21.9,21.1,7.1,1.33,5.5,596
31.7,58.9,39.9,20.5,5.7,0.94,14.0,565
32.9,62.6,30.6,21.9,14.6,1.4,5.2,533
14.1,54.5,8.3,17.4,7.0,0.99,10.1,238
30.1,88.2,70.9,25.0,14.4,1.37,6.4,512
35.1,81.5,10.9,29.1,11.0,1.48,11.5,337
40.6,95.1,46.7,42.9,21.3,2.16,2.8,679
20.9,58.2,23.6,18.8,3.9,0.94,10.9,420
20.6,88.6,57.9,28.9,12.3,1.94,5.4,412
34.7,75.8,6.4,33.2,6.3,1.5,7.8,335
22.2,98.7,35.8,24.0,12.6,1.54,3.8,471
22.7,73.6,13.6,21.8,5.2,1.14,12.2,472
39.1,82.9,69.3,39.7,8.2,2.0,3.6,543
22.1,83.0,9.3,32.5,11.4,1.6,6.3,512
34.5,77.7,7.1,25.6,8.9,1.71,8.1,500
23.8,65.2,14.2,14.6,4.9,0.97,10.7,331
34.6,81.4,32.1,29.6,1.9,1.19,6.9,512
27.8,62.8,13.2,29.7,15.8,1.4,8.1,604
41.0,67.4,26.7,28.3,21.9,2.04,5.5,493
22.5,56.1,33.8,19.0,5.4,0.87,16.6,492
36.3,67.9,18.0,24.6,18.9,2.13,8.1,588
30.7,71.1,34.5,19.0,3.2,0.78,11.3,512
44.1,72.6,86.1,33.2,-0.2,2.49,2.7,565
22.6,66.2,8.0,16.8,7.1,0.84,10.4,321
31.0,76.0,88.8,43.9,4.1,2.35,4.9,804
36.3,106.3,75.6,27.1,19.5,2.08,5.0,682
34.1,62.3,137.4,33.6,7.1,2.04,4.1,442
31.5,80.0,89.9,22.7,10.5,1.41,6.1,647
27.5,81.3,45.5,21.3,12.7,1.66,7.7,395
36.4,111.6,67.0,43.1,8.3,2.32,8.3,813
30.7,93.7,144.6,36.7,20.0,2.12,4.1,531
25.6,77.7,39.8,18.2,2.6,1.24,10.4,380
26.2,67.3,19.3,20.8,9.9,1.66,6.4,419
24.9,82.9,17.6,36.7,29.1,1.72,6.9,536
22.5,41.5,7.1,17.3,3.2,1.01,11.4,212
26.8,55.2,8.0,20.7,5.6,0.76,12.2,575
25.6,71.2,12.1,20.3,3.5,0.88,12.9,516
37.2,94.4,37.1,29.5,10.8,1.66,8.3,531
40.8,98.7,114.1,48.7,8.7,2.09,4.4,395
29.3,67.6,16.8,26.7,9.1,0.83,10.9,488
25.3,88.7,65.4,39.0,16.6,1.98,5.1,696
24.1,77.2,9.6,20.9,2.2,0.86,10.7,539
34.2,81.3,65.0,28.2,11.6,2.19,6.4,709
38.8,97.9,12.2,43.2,7.9,1.27,4.0,567
47.7,69.2,50.7,38.3,22.2,2.58,5.9,651
30.4,80.4,21.0,38.4,14.3,3.11,3.3,856
45.9,69.9,68.3,48.6,23.2,2.29,2.6,871
21.8,55.6,20.6,13.5,6.4,1.05,10.8,577
26.6,67.5,6.7,24.6,2.0,0.96,10.9,444
31.3,73.8,46.6,31.0,22.8,1.92,4.6,681
23.3,48.6,24.0,20.1,5.1,1.14,10.2,263
21.0,60.5,8.9,15.1,6.8,0.93,10.2,378
35.1,67.6,25.5,25.0,5.6,1.52,5.1,345
40.0,66.1,41.3,28.1,2.7,1.66,5.9,745
33.6,48.8,27.3,17.1,4.3,1.04,11.1,267
30.7,65.8,14.2,25.8,11.0,1.32,5.6,380
32.4,76.4,30.0,23.0,10.2,1.47,7.6,331
44.4,104.7,32.3,45.7,15.6,2.72,4.1,888
31.6,76.7,26.9,30.1,17.4,1.29,7.6,663
34.1,72.9,15.6,33.6,4.9,1.43,5.6,526
24.5,51.9,21.4,13.4,3.7,1.08,11.3,379
25.2,71.3,36.0,14.7,4.8,0.94,11.2,432
23.0,86.2,25.3,34.8,12.5,1.99,3.9,559
24.2,75.7,34.0,17.0,5.9,1.06,10.3,483
51.5,92.6,25.7,49.5,22.2,2.48,4.0,737
25.4,59.1,16.6,15.2,6.8,1.04,10.5,439
28.1,81.5,11.7,27.2,10.0,1.7,5.1,530
31.2,50.6,84.9,29.4,7.4,1.34,6.4,578
31.8,49.9,17.9,36.1,7.0,1.48,9.5,687
31.2,65.8,16.2,22.4,5.3,1.4,6.0,495
25.7,39.5,16.9,18.6,7.0,1.01,16.5,206
45.7,76.3,20.8,23.8,28.2,2.44,3.7,761
26.1,63.3,13.7,23.7,4.5,0.89,14.7,450
28.3,52.1,9.8,19.3,2.7,0.9,10.9,271
22.9,89.4,34.2,30.5,34.0,3.09,2.6,833
45.9,56.9,79.3,46.9,4.4,1.94,2.8,763
25.0,69.5,9.0,28.8,5.6,1.19,10.1,232
34.9,71.7,19.4,34.4,7.3,1.57,6.4,577
20.7,59.2,14.1,23.1,1.9,0.99,10.7,346
31.6,88.9,18.6,23.0,12.8,1.4,8.2,542
29.9,94.3,13.8,31.5,13.9,2.39,3.4,522
21.2,75.1,31.7,26.0,10.3,1.48,6.9,666
33.3,94.3,41.0,35.3,11.8,2.33,8.5,770
28.6,67.6,5.0,18.6,3.3,0.92,16.4,355
26.6,54.5,10.3,24.2,5.5,1.09,10.3,580
35.9,66.6,49.5,36.3,15.9,1.91,5.3,426
33.4,63.9,10.6,35.0,15.7,1.84,5.2,471
32.0,61.5,20.6,23.3,11.0,1.41,8.1,425
33.0,84.1,23.8,31.4,-3.4,2.1,4.3,493
31.4,79.4,62.7,24.1,11.5,1.46,7.8,361
41.1,105.0,30.9,37.1,16.4,2.45,3.4,750
31.0,46.3,31.1,30.1,19.2,1.31,8.0,484
29.0,67.2,20.0,24.3,6.5,0.84,10.2,524
30.9,57.2,12.9,29.2,15.2,1.37,6.2,632
20.1,77.9,4.9,14.9,2.1,0.88,10.5,536
25.3,62.8,12.6,19.7,5.4,0.95,13.1,305
41.4,79.4,40.4,28.0,17.8,1.15,6.4,538
22.1,41.0,20.3,12.8,4.9,1.18,15.0,217
34.3,81.2,47.1,31.7,16.5,1.71,3.9,507
30.7,99.1,74.7,40.7,17.9,2.85,3.1,761
54.7,81.7,133.7,35.0,26.1,2.32,5.4,586
31.4,69.8,32.0,16.3,9.7,1.49,8.0,643
27.2,71.6,24.4,31.4,15.4,2.09,4.0,434
38.5,79.8,88.1,36.1,9.8,1.86,4.6,565
23.6,62.0,14.7,16.9,5.5,1.18,10.9,196
39.0,90.6,67.5,23.6,16.3,2.13,3.8,467
26.8,50.2,25.5,28.9,0.9,0.96,13.7,303
24.9,61.5,14.6,25.8,4.9,1.0,10.9,336
34.0,104.3,44.1,41.7,15.9,2.35,7.1,676
22.7,79.5,8.1,12.2,6.5,1.03,12.4,439
28.6,50.1,15.6,26.6,4.9,1.6,5.5,566
33.0,79.3,78.2,34.4,25.3,2.58,3.4,692
18.8,76.1,21.5,14.5,3.8,0.86,11.1,342
50.7,68.0,60.8,35.2,29.7,2.77,4.7,862
36.5,81.1,34.5,37.1,11.8,1.91,4.3,610
24.4,67.7,4.3,17.0,6.9,0.93,13.3,370
28.0,80.7,68.9,29.0,15.3,1.61,5.1,336
30.5,57.3,14.8,26.1,4.1,0.87,10.2,521
41.0,98.3,122.2,47.2,27.7,2.97,4.1,686
35.2,80.7,103.4,49.6,9.6,2.47,3.5,681
30.7,50.1,44.2,28.9,12.7,1.56,6.4,659
27.1,76.4,13.0,21.7,3.4,0.86,10.0,407
33.3,92.2,25.3,29.8,19.7,1.41,3.9,494
30.2,74.5,25.0,23.3,4.2,0.87,12.0,499
32.2,69.4,14.1,24.3,12.5,1.89,5.7,481
26.0,65.5,16.1,24.8,3.1,0.99,10.9,405
42.6,92.1,12.8,34.5,12.0,2.06,6.8,562
36.4,77.4,62.4,25.9,10.8,2.37,4.8,774
36.0,89.8,47.9,26.0,-0.1,1.74,4.3,490
38.3,78.7,16.8,35.0,12.9,1.93,7.4,451
32.5,71.3,30.9,26.1,23.5,2.16,5.4,730
31.6,81.1,30.0,31.6,12.3,1.45,5.5,664
20.1,55.0,10.7,24.6,6.3,1.07,17.2,431
39.6,96.2,65.4,35.8,17.1,2.03,5.2,661
43.6,104.2,85.9,38.6,4.5,2.72,5.8,676
32.3,87.0,69.9,56.1,26.6,2.5,2.7,801
21.5,60.0,20.6,20.9,1.6,0.94,10.7,587
39.2,57.5,134.5,41.2,10.1,2.4,3.9,730
29.2,65.3,17.2,33.5,17.0,1.54,5.6,295
34.0,82.8,190.0,26.4,14.1,2.3,7.7,613
27.4,54.4,10.0,24.7,4.2,0.92,12.0,339
29.9,86.0,41.8,29.7,3.2,1.38,6.4,498
24.1,70.4,15.7,21.7,3.4,1.04,10.2,223
39.9,83.6,39.4,46.9,27.6,1.9,6.8,438
33.6,74.3,36.2,40.1,18.0,2.24,3.4,655
26.8,90.0,65.7,33.3,24.0,2.55,10.8,672
26.3,49.5,5.6,22.0,1.2,1.05,11.2,207
26.8,98.6,21.6,34.8,12.9,2.0,6.6,712
21.9,70.1,10.4,13.5,1.1,1.09,12.5,224
29.0,90.6,30.3,31.4,9.4,1.38,6.8,303
25.0,75.7,9.3,21.2,5.2,1.15,16.0,541
40.1,62.1,67.7,31.6,-4.1,2.54,4.9,570
30.7,79.1,25.8,13.5,5.5,0.98,10.1,456
26.6,60.0,15.5,32.8,5.3,1.57,6.9,460
20.3,66.0,10.1,23.4,5.0,0.81,10.8,291
31.1,116.9,35.6,31.7,20.7,2.73,4.5,544
26.2,80.8,15.8,26.0,7.3,0.98,11.8,602
33.6,79.4,32.1,31.7,15.3,1.86,6.1,691
52.3,84.7,36.4,26.8,15.6,2.27,2.7,647
23.9,79.6,32.2,18.7,3.0,1.1,12.0,454
29.7,63.0,27.1,16.0,5.1,1.06,11.6,471
30.9,82.0,79.4,36.7,12.1,2.38,5.7,793
25.8,68.3,19.0,13.0,6.6,1.09,11.2,310
21.7,50.0,25.1,12.2,7.0,1.13,11.1,311
24.0,56.9,6.9,13.0,8.2,1.14,11.3,360
23.1,59.7,25.3,22.9,14.1,1.3,6.3,598
26.2,41.0,6.4,23.4,7.3,1.05,10.5,432
29.1,58.0,13.8,14.6,5.1,0.97,11.3,582
41.2,92.2,49.5,42.2,17.1,2.39,2.7,815
21.8,53.6,13.1,20.8,9.0,1.43,5.0,309
27.1,51.2,25.6,15.7,4.4,0.75,10.3,432
31.3,68.9,32.5,32.7,6.6,1.65,8.0,489
21.9,71.6,11.4,15.5,5.4,0.95,11.6,585
19.4,54.5,33.5,19.9,11.7,1.79,5.3,362
28.3,82.6,25.7,29.0,6.7,1.49,6.1,563
45.5,90.8,56.9,29.1,17.4,2.76,9.4,684
35.0,80.4,30.2,48.4,14.5,1.96,5.2,747
28.4,62.8,35.1,23.5,12.3,1.53,5.4,543
30.7,53.5,11.5,22.9,8.8,0.98,13.7,429
36.8,71.4,46.1,41.7,6.3,2.35,2.6,846
25.8,65.6,15.2,23.0,3.9,1.09,18.9,368
33.2,86.6,8.0,30.0,5.7,1.89,9.3,553
30.6,47.9,18.8,16.1,2.4,1.05,12.4,386
25.7,51.6,20.6,16.9,7.5,1.07,10.7,454
21.5,57.5,4.3,15.0,6.7,1.02,18.8,373
32.4,70.4,91.5,44.8,25.7,2.06,13.7,771
25.5,47.4,8.9,25.2,5.9,1.24,10.6,404
34.4,94.5,48.8,26.3,9.9,1.47,9.3,457
22.1,73.9,14.5,32.4,22.2,2.1,6.8,492
40.1,93.5,54.6,27.7,13.8,2.16,8.4,400
27.8,66.9,14.6,25.5,4.5,1.06,13.9,442
31.4,54.3,34.5,37.0,14.9,1.32,8.3,632
29.3,42.3,25.3,15.4,6.2,1.0,11.8,524
23.5,51.6,8.3,23.5,7.4,0.92,19.7,450
40.0,68.1,45.7,38.1,14.4,2.17,4.0,596
33.8,72.1,18.3,29.7,6.8,1.16,5.9,625
32.5,69.3,47.9,28.8,9.8,1.53,5.2,409
24.9,82.2,27.9,25.6,2.0,1.54,8.1,458
25.9,62.8,35.6,31.2,19.0,1.48,5.3,411
32.7,56.0,68.6,22.9,15.7,1.32,6.7,542
27.3,67.7,9.2,24.6,7.6,1.13,11.1,249
28.3,65.8,9.8,23.3,3.6,1.03,13.0,563
39.7,95.9,74.9,30.8,18.3,2.3,3.7,422
24.7,78.7,6.4,13.0,4.7,0.97,10.8,193
32.2,95.9,12.3,32.2,5.5,1.38,6.6,485
30.2,49.8,8.0,30.5,7.2,1.56,5.9,706
23.2,73.4,9.8,20.5,5.0,0.96,13.6,556
24.6,66.9,19.2,25.2,5.9,1.01,10.3,279
28.0,64.0,10.8,15.5,3.4,0.88,12.4,470
22.3,40.5,7.1,23.8,4.4,0.85,13.1,549
24.6,51.3,8.0,21.7,5.9,0.98,12.8,454
35.3,65.1,122.9,40.9,8.3,2.64,10.5,777
25.4,50.5,26.3,13.7,7.8,0.99,12.0,317
22.7,47.2,10.1,16.5,4.3,0.99,11.8,537
32.5,89.0,34.2,38.7,13.5,1.88,5.3,688
32.5,68.3,40.1,29.0,9.5,1.52,6.5,410
27.4,51.0,16.8,26.9,4.6,1.55,11.6,436
19.6,74.7,4.6,22.9,4.1,0.94,10.4,388
23.8,44.4,11.9,23.1,3.1,0.9,11.5,602
40.9,72.9,43.4,36.6,21.1,2.33,2.7,592
29.2,93.2,46.6,34.6,11.0,1.34,6.9,346
34.8,66.4,17.1,20.8,4.1,1.08,12.9,353
27.3,61.6,2.3,14.0,4.2,0.87,19.0,465
30.1,72.9,5.9,26.5,8.1,1.21,13.0,569
36.4,61.9,22.4,21.9,13.4,1.75,5.7,616
35.1,72.5,17.8,28.7,5.1,0.92,14.7,573
44.7,78.8,113.0,37.8,16.0,2.07,3.4,549
20.9,50.7,7.2,11.5,3.2,0.82,12.2,298
19.2,66.2,44.9,18.8,7.1,2.25,4.4,799
41.6,81.7,21.9,59.3,10.5,2.07,2.9,633
26.9,81.9,40.2,23.5,8.7,1.41,5.9,379
32.9,66.0,11.9,22.8,11.4,1.67,6.9,686
36.5,68.3,19.3,32.0,14.8,2.18,8.2,771
43.6,112.5,69.6,40.8,21.6,2.64,3.2,805
24.1,74.7,12.1,10.5,6.4,1.07,11.0,454
28.7,73.6,20.1,27.1,3.4,0.88,10.2,581
27.3,48.7,24.7,12.8,4.6,1.05,10.8,224
43.4,78.1,52.3,44.6,16.0,2.03,2.5,799
23.9,66.7,7.9,15.4,7.1,0.95,12.4,362
39.1,73.5,82.4,33.6,19.4,1.88,3.6,557
41.4,74.5,37.6,46.8,13.8,3.61,4.3,632
26.7,71.4,22.3,31.4,10.3,1.55,7.7,688
23.8,67.9,19.2,25.0,5.1,0.97,10.0,366
25.0,77.4,5.8,14.7,6.3,0.84,11.0,288
30.3,86.7,30.2,36.5,17.8,2.31,2.9,465
34.9,81.1,52.3,20.9,7.5,1.68,5.5,672
25.3,64.3,14.2,22.5,9.6,1.52,6.7,301
32.2,58.5,19.5,27.8,7.9,1.77,7.8,356
30.4,68.6,29.7,31.0,11.3,2.06,3.6,609
25.2,74.1,38.9,21.1,6.9,1.02,10.7,540
27.8,42.1,5.3,13.5,3.8,1.09,10.8,527
30.4,51.1,8.0,17.1,4.7,1.0,11.6,576
30.4,44.2,11.4,22.0,5.9,0.92,11.3,446
23.3,77.5,17.6,20.0,6.1,1.21,10.7,530
27.0,58.1,12.2,25.8,5.5,0.99,17.8,324
24.6,71.3,13.8,25.0,5.1,1.11,10.9,433
23.2,86.5,21.4,22.3,15.0,1.56,7.3,601
31.2,51.4,41.1,15.6,12.1,1.44,5.7,386
23.3,66.1,5.2,18.4,5.7,0.89,10.3,492
36.0,71.3,25.4,33.0,14.6,1.73,5.2,677
37.3,61.0,72.0,22.7,10.3,1.6,9.3,582
32.4,57.8,29.1,26.1,9.8,1.71,7.4,299
26.0,79.4,18.1,19.5,10.1,1.86,6.7,525
25.4,63.2,16.0,17.9,2.2,0.93,12.7,560
30.0,87.5,43.1,28.7,12.2,1.63,6.3,561
22.5,48.6,6.2,12.9,8.0,1.02,10.5,354
41.7,82.5,15.8,31.1,12.7,1.8,4.6,735
26.4,47.9,57.5,32.1,7.0,1.79,6.1,562
27.7,62.9,24.0,22.5,18.1,1.56,6.0,495
29.7,75.5,33.0,23.8,8.2,1.32,7.3,554
31.2,54.0,22.8,23.0,3.9,1.59,9.4,492
32.5,80.7,41.2,41.6,12.9,1.74,4.2,623
33.2,109.9,14.8,26.7,15.2,1.88,9.0,511
34.4,87.9,240.0,50.7,15.3,2.53,4.3,578
26.9,81.0,15.8,27.3,9.5,1.39,5.9,620
29.7,72.5,14.0,33.4,9.4,1.72,6.6,315
34.5,82.1,40.9,41.4,17.2,2.73,5.0,808
22.5,58.3,32.3,26.9,3.3,0.97,10.3,501
52.4,102.6,221.6,44.4,12.9,3.16,3.9,588
30.1,74.1,43.6,25.6,24.2,2.19,4.7,450
26.0,45.1,28.7,21.4,1.9,1.12,11.9,397
26.2,63.6,29.5,16.7,5.4,1.08,10.7,412
25.5,88.7,20.0,25.4,10.5,1.5,5.8,364
27.3,78.6,18.7,14.4,5.4,1.03,14.5,270
32.3,83.0,15.1,27.0,12.7,1.45,5.0,454
33.6,81.2,30.3,30.2,10.6,1.24,6.3,714
26.0,45.3,12.4,27.4,7.2,0.78,18.9,546
21.8,59.9,22.6,23.5,5.2,0.94,10.0,318
31.9,66.3,40.0,30.6,9.3,1.55,6.2,381
41.7,76.5,19.6,49.5,24.5,1.92,8.2,698
24.2,62.7,8.5,22.3,0.3,0.99,10.3,555
28.8,75.2,15.5,25.4,7.3,1.26,8.7,580
31.1,83.6,25.6,34.7,6.7,1.43,6.4,376
26.0,39.5,9.2,23.1,8.1,0.96,10.5,243
33.8,86.8,20.9,26.7,6.6,1.66,5.2,685
26.0,54.6,10.0,23.6,4.3,1.11,11.4,298
43.1,69.1,16.6,30.0,12.2,2.08,5.9,657
37.0,71.8,38.6,35.4,22.9,1.82,3.4,516
31.2,86.3,52.8,16.8,9.9,1.73,5.9,571
33.1,84.4,9.5,17.2,8.9,1.61,5.7,504
31.0,50.1,20.9,17.7,12.8,1.7,5.1,328
26.8,45.7,8.2,17.9,5.6,0.88,15.4,440
22.8,81.2,18.9,18.5,6.8,1.04,15.0,215
32.0,88.8,13.5,29.4,11.5,1.62,7.9,604
34.2,61.2,19.0,24.6,12.6,1.41,5.1,553
30.8,60.3,3.6,21.2,5.1,0.96,11.4,470
32.4,62.5,38.3,31.0,7.0,1.64,5.1,688
19.7,73.8,6.7,20.1,4.3,1.1,14.2,532
29.5,60.6,18.5,26.1,7.5,1.55,8.9,438
27.7,60.2,5.7,25.3,6.2,1.05,12.9,218
24.0,45.0,7.1,26.1,5.2,1.15,10.9,265
24.1,81.4,93.2,19.7,12.8,1.66,9.5,400
34.6,86.1,28.9,37.4,10.2,1.44,6.4,414
31.5,105.1,9.8,32.5,21.3,1.9,6.2,786
20.9,69.9,6.7,23.2,4.4,0.87,15.2,520
27.6,55.9,17.8,33.7,8.8,1.6,5.2,352
28.6,91.5,82.7,39.5,7.5,1.97,4.6,639
33.5,75.7,18.1,29.4,10.1,1.45,6.0,633
26.5,52.8,10.0,26.5,3.4,0.91,12.1,377
34.5,45.9,8.0,28.5,4.4,0.94,12.3,384
30.6,93.2,9.5,28.7,15.3,1.41,5.9,393
22.1,47.8,14.9,24.4,7.0,1.06,10.5,578
22.4,50.0,21.1,16.0,5.7,1.06,13.4,433
30.0,78.1,55.7,30.8,16.4,1.45,5.9,739
36.3,99.2,34.1,34.7,21.0,2.26,4.5,742
43.2,84.2,31.0,46.2,31.1,2.72,3.5,934
35.4,58.4,9.5,27.3,5.4,1.54,6.1,411
22.2,69.8,21.7,17.5,6.5,1.03,11.2,294
29.4,63.9,12.2,19.1,6.7,0.95,11.0,315
23.3,71.1,39.0,29.5,11.6,1.21,15.6,404
28.7,60.8,34.7,31.8,9.5,1.4,7.6,667
21.5,59.9,5.5,15.1,7.1,0.97,11.8,365
26.2,60.0,58.0,26.4,22.2,1.54,11.0,609
37.5,93.5,45.1,32.7,14.6,1.74,4.0,454
24.2,47.1,31.7,19.4,4.5,0.94,10.6,493
32.9,49.6,28.5,22.0,8.8,1.64,5.3,518
27.4,45.5,11.9,30.8,16.7,1.84,7.2,649
25.1,42.6,20.1,25.0,6.3,1.08,13.7,455
30.7,76.4,18.9,23.5,2.8,0.9,12.9,302
25.2,39.1,19.7,23.0,6.7,1.1,15.0,249
29.4,49.7,51.6,26.5,10.4,1.47,6.9,622
32.1,66.3,28.8,33.3,20.6,1.68,6.5,474
41.9,81.3,23.3,31.2,11.5,1.98,5.5,459
24.3,50.6,13.1,13.6,6.9,0.99,11.5,245
28.1,87.7,53.4,39.1,10.3,1.86,5.2,669
43.1,102.0,12.4,31.9,18.9,2.2,3.9,492
29.1,68.1,5.2,23.4,3.9,0.84,12.6,353
35.3,53.7,44.6,20.3,3.8,1.21,5.8,328
39.1,82.6,31.9,27.9,18.5,2.0,4.5,750
24.1,70.9,17.7,23.4,4.1,1.47,6.3,475
40.4,65.1,55.6,35.3,17.9,1.82,5.3,440
25.3,49.4,32.0,24.9,7.2,1.73,5.8,426
44.0,84.1,73.0,38.9,12.9,2.48,4.0,530
36.6,49.9,14.5,30.5,9.1,1.29,5.4,565
29.2,93.5,29.8,30.9,7.3,1.65,3.6,713
27.2,78.3,43.8,15.1,2.4,0.97,12.3,397
35.5,69.0,38.7,35.0,9.9,2.1,6.1,490
42.1,80.6,41.8,36.9,12.0,2.09,4.3,437
28.2,90.6,27.5,32.3,17.4,2.07,9.1,680
26.8,55.7,6.2,17.3,5.6,0.94,11.4,425
21.3,75.7,33.5,14.8,3.2,1.1,11.4,243
30.6,55.6,23.0,25.0,10.4,1.38,6.3,354
24.1,63.0,7.4,22.5,8.0,0.78,19.9,566
30.1,78.4,24.9,28.8,6.6,1.98,7.0,569
32.3,64.1,53.5,29.2,15.1,2.44,4.8,697
47.4,82.8,33.5,32.3,18.9,1.84,5.1,600
29.4,72.7,28.4,12.0,2.9,1.16,12.1,204
38.2,63.5,77.9,32.4,6.8,2.3,5.0,458
32.5,55.7,10.7,26.0,12.7,1.54,5.7,298
18.5,54.0,7.7,22.7,3.9,0.86,14.1,415
39.5,94.4,51.0,37.1,28.6,1.8,4.4,654
23.9,65.3,33.5,22.3,1.4,1.03,12.6,499
28.9,87.3,118.1,34.8,13.4,1.76,7.9,760
40.7,108.7,79.6,38.8,21.0,2.07,2.7,803
31.5,72.2,62.0,32.2,16.1,2.7,3.1,747
38.0,78.8,65.2,30.9,19.4,2.19,3.0,571
17.7,75.2,8.0,18.6,2.0,1.04,13.0,593
21.1,49.5,9.4,15.2,0.6,1.1,14.4,314
29.1,93.5,30.2,29.3,13.4,1.54,5.4,402
23.7,40.0,23.0,20.4,6.2,1.05,12.5,318
32.3,66.5,41.9,34.6,9.2,1.83,5.8,426
26.6,58.5,34.3,25.2,3.7,1.04,12.1,341
32.2,60.7,65.1,41.1,14.4,2.79,2.9,875
30.4,64.0,10.3,35.0,4.9,1.57,5.6,708
25.7,69.6,7.4,25.1,4.6,0.97,10.2,310
29.7,78.5,16.4,14.5,5.3,0.86,13.6,275
27.8,53.7,16.9,29.7,7.9,1.31,5.6,613
28.9,72.0,58.4,29.3,9.2,1.56,9.5,422
20.5,61.9,4.7,24.8,5.4,0.97,11.3,296
34.9,77.7,47.1,17.4,11.5,1.63,8.8,541
34.7,80.2,41.3,31.6,19.7,2.04,3.9,798
21.3,70.4,16.8,25.4,0.4,0.84,10.9,486
33.7,67.9,13.4,26.2,16.4,1.84,4.9,742
29.8,59.1,17.9,18.9,9.2,1.72,6.3,319
26.2,85.9,60.2,19.8,9.0,1.56,7.1,286
28.8,72.9,13.4,25.7,11.0,1.29,6.5,364
30.8,66.5,117.8,39.4,36.5,2.64,6.7,573
23.5,60.1,7.2,17.2,6.1,1.02,10.1,384
29.3,90.5,52.4,36.4,26.3,2.02,8.9,498
24.7,72.4,15.2,24.9,3.1,0.94,13.7,221
32.2,83.4,15.3,38.3,12.6,1.72,7.4,449
28.3,59.1,6.1,23.4,7.0,1.1,10.9,511
26.1,60.2,18.9,22.7,11.4,1.63,11.4,551
24.8,58.3,19.1,14.5,9.5,1.0,12.2,437
27.5,71.0,64.1,22.0,6.7,1.65,6.6,601
23.1,71.0,9.9,17.7,4.4,1.01,11.8,342
34.7,54.2,74.2,18.1,13.7,1.57,9.6,592
35.5,97.4,37.3,24.7,13.0,1.75,12.4,513
24.7,46.2,25.0,14.4,5.0,0.78,10.1,356
22.3,51.0,40.0,17.5,4.5,1.78,6.2,294
27.3,77.9,33.3,32.8,9.9,1.3,7.5,580
31.8,67.6,15.1,29.2,2.1,1.64,6.7,454
22.5,59.8,12.6,30.5,5.2,1.37,8.8,718
23.6,55.5,2.2,24.5,9.7,1.03,10.5,349
33.2,59.6,15.6,23.6,6.4,1.25,5.6,463
24.5,65.3,38.1,33.4,2.0,1.23,6.0,616
23.6,70.0,17.8,22.2,5.5,1.11,11.5,482
36.1,77.3,50.4,23.1,13.1,2.04,5.2,615
40.6,85.2,44.8,30.5,19.0,2.66,4.5,554
29.9,68.7,7.0,11.9,7.5,0.87,13.9,547
22.8,55.8,6.4,26.4,3.7,0.97,17.0,226
24.5,60.1,12.5,27.4,5.4,0.98,10.5,476
42.7,74.3,70.8,42.3,20.7,2.58,5.9,729
28.9,48.1,5.6,23.1,5.9,1.09,10.6,465
16.6,38.7,8.5,19.8,5.4,0.95,15.6,264
41.4,93.0,45.3,40.3,12.5,1.63,4.2,600
27.4,62.4,4.2,17.7,3.1,1.04,10.9,577
26.8,48.9,34.3,17.4,5.7,0.92,10.6,233
29.3,56.4,1.5,25.0,3.4,0.88,11.2,407
39.5,82.8,80.4,33.8,23.0,2.75,5.7,679
39.3,96.3,62.4,34.3,29.0,2.23,4.1,623
35.1,81.6,11.2,35.3,15.5,1.72,16.6,438
36.5,62.0,54.8,25.3,21.7,2.48,3.5,623
44.4,70.0,19.5,23.3,11.6,1.71,5.1,762
28.6,65.2,44.4,20.5,5.2,1.13,12.3,492
33.7,54.1,15.5,34.5,6.8,1.5,5.4,367
22.4,69.3,8.4,19.6,3.0,0.92,10.2,339
23.9,70.2,6.0,24.0,1.8,1.03,12.2,458
25.2,44.3,12.4,22.0,3.4,1.06,10.1,470
